Location,Shot,Offside,AirDuelWon,GroundDuelWon,Corner,CrossAcc,Foul,Tackle,SprintD,Cross,OppRank,LSRD,TackleWon,HSRE,MSRD,FwdPass
0,12,2,39.29,44.83,3,0,18,17,1762.2,8,1,92027.1,76.47,357.5,12310.1,263
1,10,1,44.74,55,5,38.1,15,16,456.5,21,0,82428.5,62.5,291.5,12735.8,225
0,10,1,55.26,45,3,33.33,22,20,712.8,18,1,78804,65,207.9,9996.8,329
1,5,3,42.42,26.09,4,14.29,17,21,842.6,21,0,87001.2,57.14,301.4,13974.4,236
0,18,1,57.58,73.91,6,27.27,17,10,702.9,33,1,85935.3,70,261.8,11242,383
1,17,2,64.29,35.71,11,29.03,30,12,1273.8,31,1,90378.2,75,396,15613.4,357
0,10,1,35.71,64.29,3,17.65,14,21,1790.8,17,1,89764.4,71.43,415.8,14965.5,274
1,7,3,36.11,36.84,4,23.08,4,18,844.8,13,1,89735.8,50,240.9,12653.3,285
0,18,1,63.89,63.16,6,50,16,16,914.1,24,1,85153.2,68.75,254.1,10552.3,345
1,9,2,50,40,9,31.25,28,30,1162.7,32,1,87195.9,70,339.9,14074.5,325
0,11,1,50,60,5,7.69,18,10,1333.2,13,1,87173.9,70,335.5,13502.5,249
1,11,3,47.37,53.13,6,42.86,20,27,1397,14,1,91479.3,59.26,349.8,13701.6,328
0,6,0,52.63,46.88,2,30,15,18,1333.2,10,1,90435.4,61.11,306.9,12670.9,316
1,6,3,48.98,59.52,7,23.08,10,22,1206.7,26,0,88253,81.82,352,13811.6,373
0,10,5,51.02,40.48,6,20,14,26,1552.1,25,1,86939.6,69.23,385,14446.3,293
1,23,2,47.62,45.45,5,27.78,13,17,953.7,18,0,94785.9,70.59,280.5,12920.6,247
0,5,0,52.38,54.55,3,25,8,16,594,16,1,89118.7,75,251.9,11048.4,390
1,10,5,47.37,33.33,3,18.75,13,18,1079.1,16,1,94107.2,55.56,346.5,14692.7,309
0,17,1,52.63,66.67,8,23.81,15,18,1234.2,21,1,90778.6,61.11,363,14305.5,354
1,12,0,26.67,50,1,6.67,16,10,1098.9,15,0,93692.5,60,401.5,17459.2,379
0,6,3,73.33,50,2,36.36,13,17,881.1,11,1,94061,64.71,360.8,15434.1,298
1,7,0,48.72,34.88,4,33.33,21,20,1386,15,0,92357.1,45,378.4,15089.8,316
0,14,3,51.22,65.85,7,36.36,14,17,1307.9,22,1,90986.5,47.06,365.2,15884,331
1,12,1,12.5,51.61,0,20,11,27,1276,5,0,90515.7,55.56,320.1,13039.4,229
0,16,3,87.5,48.39,8,16.67,17,11,1157.2,24,1,85934.2,72.73,321.2,14553,425
1,12,1,59.09,47.83,4,20,21,23,1235.3,15,1,91103.1,56.52,379.5,14647.6,289
0,18,2,40.91,52.17,3,31.25,12,18,1203.4,16,1,87434.6,66.67,370.7,14581.6,341
1,12,1,45.45,66.67,8,21.05,19,17,1314.5,19,0,85471.1,70.59,328.9,12354.1,256
0,8,1,54.55,34.62,2,31.58,21,19,1226.5,19,1,82126,68.42,288.2,11140.8,329
1,6,4,15.38,42.11,1,15.38,13,14,1446.5,13,0,85259.9,64.29,386.1,14019.5,256
0,18,4,84.62,57.14,6,36.84,18,6,1323.3,19,1,82215.1,33.33,359.7,12417.9,421
1,12,1,42.31,60,2,25,17,24,1184.7,12,1,90554.2,70.83,400.4,14715.8,285
0,18,3,57.69,40,6,11.54,13,13,1475.1,26,1,88749.1,69.23,434.5,15167.9,392
1,19,2,63.16,52.38,3,40,14,25,1346.4,30,1,90608.1,52,390.5,16962,308
0,13,1,36.84,47.62,4,5.26,19,29,1026.3,19,1,90384.8,51.72,390.5,15909.3,341
1,7,1,47.37,59.09,2,28.57,20,15,1742.4,14,1,88785.4,86.67,423.5,16469.2,310
0,10,0,52.63,40.91,13,32.5,17,20,1676.4,40,1,86379.7,55,386.1,13901.8,367
1,15,3,41.94,53.33,3,20,17,25,1343.1,15,1,90981,64,369.6,15320.8,295
0,13,6,58.06,46.67,0,15.79,11,22,1348.6,19,1,92407.7,81.82,338.8,13896.3,415
1,11,8,45.83,52.94,6,36.84,20,12,2337.5,19,1,80723.5,75,620.4,16200.8,287
0,9,2,54.17,47.06,5,20,11,8,2761,15,1,82758.5,50,501.6,15389,308
1,15,2,40.38,48.78,4,27.78,11,15,1444.3,18,0,92560.6,73.33,394.9,14594.8,349
0,17,1,59.62,51.22,3,31.58,17,15,1185.8,19,1,89235.3,86.67,361.9,13376,304
1,12,5,56.67,38.46,2,35.29,17,22,1232,17,0,89393.7,50,257.4,10990.1,251
0,13,3,43.33,60.71,4,38.1,16,16,1146.2,21,1,84134.6,75,287.1,10694.2,340
1,15,1,32.14,50,8,26.92,27,34,1980,26,0,84260,61.76,409.2,14887.4,213
0,15,3,67.86,50,8,31.58,16,19,1416.8,19,1,84868.3,68.42,389.4,15621.1,329
1,22,1,52.31,30,7,27.27,19,15,1725.9,33,1,90038.3,46.67,393.8,15403.3,377
0,8,2,47.69,71.05,2,28.57,17,9,1777.6,14,1,91701.5,66.67,435.6,16251.4,270
1,26,2,60,53.33,9,26.67,20,12,1193.5,30,1,90277,83.33,451,16740.9,396
0,7,2,40,46.67,6,18.75,16,11,1010.9,16,1,90702.7,36.36,379.5,18764.9,351
1,18,2,51.72,36,3,8.7,23,16,1554.3,23,0,89752.3,75,375.1,13506.9,274
0,10,2,48.28,64,1,16.67,13,20,1717.1,18,1,87123.3,55,386.1,13504.7,328
1,22,0,55.17,41.38,8,33.33,13,21,974.6,27,0,88433.4,52.38,324.5,13799.5,320
0,6,2,44.83,58.62,3,14.29,18,17,911.9,14,1,88169.4,82.35,288.2,12739.1,329
1,22,3,54.29,60,4,35.71,13,24,1001,14,0,91539.8,54.17,300.3,12199,327
0,14,3,45.71,40,1,25,13,12,1045,12,1,91498,66.67,369.6,15207.5,405
1,9,1,53.57,41.67,3,27.27,18,27,1323.3,11,0,91879.7,59.26,357.5,14470.5,294
0,12,1,46.43,58.33,6,12.12,22,39,1150.6,33,1,88983.4,61.54,445.5,17716.6,368
1,19,5,43.59,42.86,7,18.52,11,16,1226.5,27,0,92162.4,62.5,269.5,11497.2,406
0,6,0,56.41,57.14,0,33.33,14,19,946,3,1,91268.1,52.63,332.2,11916.3,286
1,15,0,47.22,45.45,2,54.55,19,29,1272.7,11,0,88892.1,65.52,350.9,12806.2,287
0,15,4,52.78,54.55,5,33.33,20,20,1248.5,18,1,87047.4,65,361.9,13296.8,320
1,11,3,40.91,24.32,5,13.64,15,18,1071.4,22,1,88770,72.22,379.5,13799.5,347
0,8,2,59.09,74.36,6,25,16,21,1504.8,20,1,87748.1,57.14,487.3,16464.8,326
1,17,4,31.82,46.43,3,16.67,10,25,1227.6,12,1,90926,56,312.4,13279.2,353
0,8,3,68.18,53.85,4,19.23,21,25,910.8,26,1,92172.3,60,354.2,14493.6,330
1,14,3,52.17,81.48,6,15.79,14,9,1008.7,19,1,84201.7,33.33,201.3,9474.3,305
0,9,3,47.83,18.52,3,16.67,22,17,958.1,12,1,79203.3,88.24,229.9,8683.4,293
1,12,2,45.65,54.55,5,22.73,14,23,1394.8,22,0,92571.6,56.52,302.5,14173.5,347
0,9,3,54.35,45.45,2,21.43,23,23,1222.1,14,1,90952.4,60.87,396,16986.2,302
1,13,2,40.63,57.89,7,6.9,16,7,1347.5,29,0,92514.4,85.71,348.7,15367,332
0,6,4,59.38,42.11,4,22.22,15,20,1681.9,18,1,91405.6,70,431.2,15723.4,329
1,12,4,57.45,55.56,5,29.17,18,17,1966.8,24,0,86754.8,64.71,404.8,14996.3,298
0,10,2,42.55,44.44,4,15,19,22,1702.8,20,1,85795.6,54.55,421.3,15877.4,284
1,8,0,45.83,63.64,5,25,15,18,1250.7,20,0,78450.9,61.11,276.1,10732.7,356
0,10,8,54.17,35,5,12.5,24,27,1307.9,16,1,81365.9,66.67,313.5,12684.1,232
1,14,2,56.52,52.38,8,24,14,16,672.1,25,1,93133.7,68.75,287.1,13032.8,424
0,8,0,43.48,47.62,0,37.5,13,19,661.1,8,1,90909.5,52.63,247.5,10652.4,274
1,9,1,65,35.29,4,5.26,16,30,1389.3,19,0,78598.3,83.33,302.5,11300.3,230
0,15,2,35,64.71,9,28.57,23,17,1282.6,21,1,81010.6,88.24,352,12432.2,296
1,10,2,64.29,43.9,5,18.75,19,16,1299.1,16,0,81085.4,81.25,385,13619.1,273
0,12,5,35.71,56.1,6,34.78,19,27,1322.2,23,1,81676.1,81.48,413.6,14807.1,316
1,14,1,42.42,45.83,3,15.38,12,15,1512.5,13,1,89914,100,319,12582.9,333
0,14,6,57.58,54.17,5,29.41,26,24,1470.7,17,1,89703.9,62.5,400.4,15175.6,272
1,13,3,50,57.14,3,41.67,17,20,1294.7,12,1,91290.1,60,338.8,12210,319
0,12,4,50,42.86,3,30,16,27,1118.7,20,1,92910.4,62.96,350.9,13862.2,354
1,17,1,56.86,41.3,6,21.21,15,17,2162.6,33,1,93782.7,58.82,451,17036.8,363
0,12,2,43.14,58.7,6,16.67,18,33,2195.6,24,1,91917.1,30.3,470.8,16897.1,283
1,13,1,43.59,33.33,8,32,15,22,1591.7,25,1,90741.2,59.09,394.9,15078.8,343
0,10,3,56.41,65.52,3,11.11,22,30,1246.3,9,1,90398,43.33,336.6,14627.8,248
1,9,3,58.82,40.63,6,5.56,15,28,1260.6,18,0,86368.7,57.14,353.1,12820.5,334
0,13,9,41.18,59.38,3,23.33,13,25,1504.8,30,1,86744.9,44,393.8,14742.2,328
1,14,3,45.71,50,1,45.45,17,23,1356.3,11,0,90462.9,69.57,379.5,14892.9,341
0,10,4,54.29,50,3,30,25,21,1746.8,10,1,89034,66.67,421.3,16594.6,289
1,12,1,54.55,68.75,8,43.48,17,21,910.8,23,1,87628.2,66.67,310.2,12871.1,254
0,10,2,45.45,31.25,3,31.58,21,18,854.7,19,1,86468.8,72.22,324.5,12460.8,321
1,9,2,60.53,37.14,2,17.65,13,25,1916.2,17,0,96200.5,64,464.2,17254.6,292
0,11,6,39.47,62.86,3,28,24,27,1765.5,25,1,93386.7,51.85,503.8,19494.2,420
1,12,3,62.07,52.17,2,33.33,18,23,1304.6,15,0,83748.5,52.17,380.6,13203.3,319
0,7,5,37.93,47.83,3,25,17,19,1130.8,16,1,82670.5,52.63,301.4,11768.9,282
1,9,2,60,45.16,3,30.77,19,24,1485,13,0,92599.1,50,467.5,17746.3,269
0,10,2,40,54.84,4,23.53,18,24,1281.5,17,0,91437.5,66.67,458.7,16560.5,433
1,13,3,50.88,61.9,1,46.15,19,35,2437.6,13,1,92898.3,60,448.8,17559.3,118
0,11,4,49.12,38.1,1,37.5,11,29,1449.8,16,0,88082.5,62.07,389.4,14850,173
1,12,3,48.28,30.77,8,50,17,18,1246.3,20,0,79228.6,72.22,301.4,10751.4,241
0,16,2,51.72,69.23,6,25,25,9,1069.2,12,0,77018.7,66.67,328.9,11751.3,286
1,18,2,57.14,50,8,40,22,20,2443.1,30,1,89768.8,70,514.8,18029,95
0,12,1,42.86,50,5,20,15,24,2434.3,20,0,86904.4,75,533.5,16825.6,151
1,17,5,66.67,37.5,6,33.33,13,14,2356.2,15,1,89487.2,71.43,503.8,17848.6,248
0,15,2,33.33,62.5,4,25,9,18,1711.6,16,0,89376.1,66.67,387.2,15064.5,463
1,13,6,49.21,50,6,15.79,15,25,2043.8,19,1,88122.1,60,474.1,16545.1,293
0,10,1,50.79,50,5,19.05,16,26,1919.5,21,0,90195.6,69.23,501.6,18493.2,366
1,13,4,67.86,50,5,30,23,26,1712.7,20,1,89499.3,73.08,436.7,15880.7,322
0,8,1,32.14,50,4,26.67,18,18,1544.4,15,0,88894.3,83.33,339.9,14269.2,309
1,14,3,60.61,50,4,28,18,24,1437.7,25,0,85341.3,62.5,411.4,14407.8,293
0,5,1,39.39,50,2,28.57,18,27,1238.6,14,0,83895.9,70.37,369.6,13753.3,327
1,10,3,42.31,50,6,22.22,20,17,1098.9,18,0,84866.1,76.47,294.8,12642.3,256
0,9,2,57.69,50,4,21.74,11,14,784.3,23,0,79446.4,64.29,227.7,10345.5,317
1,12,1,50.91,47.06,7,19.35,13,19,2651,31,0,84935.4,84.21,465.3,17853,305
0,12,2,49.09,52.94,3,21.43,24,19,1909.6,14,0,86509.5,78.95,459.8,15204.2,268
1,9,0,63.64,48.28,2,21.05,15,15,1039.5,19,0,83108.3,80,339.9,12808.4,298
0,13,3,36.36,51.72,2,20,19,18,1276,10,0,83024.7,55.56,325.6,12980,252
1,9,1,63.41,58.82,6,42.86,13,17,1623.6,14,1,88817.3,52.94,337.7,11917.4,352
0,7,5,35.9,42.11,3,7.14,11,17,1318.9,14,0,88084.7,64.71,320.1,11905.3,233
1,20,4,50,51.61,3,26.67,17,23,1867.8,15,0,82542.9,78.26,338.8,12236.4,243
0,10,1,50,48.39,7,4.55,13,16,1361.8,22,0,82470.3,56.25,343.2,12568.6,288
1,7,3,50,50,2,50,12,16,906.4,10,0,86840.6,56.25,269.5,11980.1,230
0,16,1,50,50,10,17.24,15,15,964.7,29,0,86227.9,66.67,280.5,12128.6,352
1,14,5,50,68.75,3,62.5,20,15,1818.3,8,1,87928.5,80,431.2,14018.4,235
0,11,3,50,31.25,9,13.64,12,24,1985.5,22,0,85511.8,70.83,431.2,14847.8,289
1,11,1,46.15,48.39,2,38.89,20,23,1064.8,18,1,87443.4,69.57,393.8,13833.6,228
0,17,1,53.85,51.61,5,28.57,15,21,904.2,14,0,90196.7,42.86,328.9,14731.2,322
1,14,0,60.87,50,6,24,18,21,1214.4,25,1,93880.6,71.43,363,14994.1,321
0,14,0,39.13,50,1,6.67,18,22,1711.6,15,0,93903.7,77.27,387.2,16086.4,334
1,12,3,46.15,31.58,2,14.29,14,22,1040.6,14,1,86132.2,45.45,339.9,12564.2,278
0,21,0,53.85,66.67,3,35.71,16,8,1180.3,14,0,88448.8,62.5,344.3,11574.2,282
1,11,4,50,55.17,2,5.26,18,17,1455.3,19,1,90919.4,88.24,383.9,14356.1,356
0,11,2,50,44.83,7,30,18,22,1459.7,20,0,89940.4,68.18,325.6,12688.5,306
1,13,2,48.78,40.91,7,34.62,18,19,1845.8,26,0,91636.6,52.63,418,14709.2,265
0,14,2,51.22,59.09,4,30,17,19,1807.3,20,0,90916.1,31.58,433.4,16128.2,251
